"","Voxel","best_alpha","best_lambda"
"80","R1",0,2
"801","R2",0,2
"802","R3",0,2
"803","R4",0,2
"804","R5",0,2
"805","R6",0,2
"806","R7",0,2
"807","R8",0,2
"808","R9",0,2
"809","R10",0,2
"8010","R11",0,2
"8011","R12",0,2
"8012","R13",0,2
"8013","R14",0,2
"8014","R15",0,2
"8015","R16",0,2
"8016","R17",0,2
"8017","R18",0,2
"8018","R19",0,2
"8019","R20",0,2
